date,level,site
2001-12-21,-11.666521739130436,#430027102311801
2002-12-21,-11.889782608695654,#430027102311801
2003-12-21,-12.018260869565218,#430027102311801
2004-12-21,-12.213369565217391,#430027102311801
2005-12-21,-12.526630434782607,#430027102311801
2006-12-21,-12.97717391304348,#430027102311801
2007-12-21,-13.19891304347826,#430027102311801
2008-12-21,-13.333478260869564,#430027102311801
2009-12-21,-13.423913043478262,#430027102311801
2010-12-21,-13.07108695652174,#430027102311801
2011-12-21,-12.858804347826087,#430027102311801
2012-12-21,-12.9075,#430027102311801
2013-12-21,-13.089130434782607,#430027102311801
2014-12-21,-13.177065217391304,#430027102311801
2015-12-21,-12.349565217391303,#430027102311801
2016-12-21,-11.98554347826087,#430027102311801
2017-12-21,-12.072758620689656,#430027102311801
2018-12-21,-12.238260869565218,#430027102311801
2019-12-21,-12.544673913043477,#430027102311801
2020-12-21,-12.60641304347826,#430027102311801
2001-12-21,-12.450108695652174,#430027102311806
2002-12-21,-12.228804347826086,#430027102311806
2003-12-21,-11.519347826086957,#430027102311806
2004-12-21,-13.058152173913042,#430027102311806
2005-12-21,-13.494891304347826,#430027102311806
2006-12-21,-16.494673913043478,#430027102311806
2007-12-21,-14.713157894736842,#430027102311806
2008-12-21,-14.79641304347826,#430027102311806
2009-12-21,-13.632282608695652,#430027102311806
2010-12-21,-12.67478260869565,#430027102311806
2011-12-21,-12.813804347826084,#430027102311806
2012-12-21,-13.159891304347829,#430027102311806
2013-12-21,-15.485652173913044,#430027102311806
2014-12-21,-14.66,#430027102311806
2015-12-21,-14.718695652173912,#430027102311806
2016-12-21,-14.045000000000002,#430027102311806
2017-12-21,-14.825802469135803,#430027102311806
2018-12-21,-14.522717391304347,#430027102311806
2019-12-21,-15.559347826086958,#430027102311806
2020-12-21,-15.906956521739133,#430027102311806
